run number,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index
180,1000,2,1000_2,3000,513,0.513,3322.74269,3.916179337,1.699805068,0.403797821
182,1000,3,1000_3,3000,560,0.56,2461.689286,3.667857143,1.821428571,0.51288745
184,1000,3,1000_3,3000,550,0.55,2625.512727,3.665454545,1.790909091,0.499061028
183,1000,3,1000_3,3000,561,0.561,2800.586453,3.71657754,1.73083779,0.461118773
185,1000,3,1000_3,3000,566,0.566,2610.600707,3.743816254,1.777385159,0.497964324
186,1000,3,1000_3,3000,560,0.56,2321.766071,3.767857143,1.883928571,0.54730664
187,1000,3,1000_3,3000,571,0.571,2497.851138,3.76882662,1.791593695,0.525594961
188,1000,3,1000_3,3000,553,0.553,2522.43038,3.797468354,1.811934901,0.499701429
189,1000,3,1000_3,3000,583,0.583,2506.502573,3.7135506,1.80102916,0.49607298
190,1000,3,1000_3,3000,564,0.564,2558.785461,3.668439716,1.790780142,0.498137686
191,1000,3,1000_3,3000,585,0.585,2299.897436,3.615384615,1.875213675,0.539973705
192,1000,3,1000_3,3000,556,0.556,2578.393885,3.678057554,1.769784173,0.493853621
193,1000,3,1000_3,3000,564,0.564,2649.893617,3.705673759,1.796099291,0.490085134
196,1000,3,1000_3,3000,532,0.532,2632.073308,3.695488722,1.819548872,0.498096138
195,1000,3,1000_3,3000,540,0.54,2789.661111,3.705555556,1.761111111,0.462184512
194,1000,3,1000_3,3000,587,0.587,2641.235094,3.758091993,1.766609881,0.485036155
198,1000,3,1000_3,3000,563,0.563,2505.763766,3.635879218,1.79928952,0.513109676
197,1000,3,1000_3,3000,572,0.572,2557.938811,3.638111888,1.828671329,0.489748651
199,1000,3,1000_3,3000,513,0.513,2484.245614,3.71539961,1.822612086,0.538564677
200,1000,3,1000_3,3000,547,0.547,2537.043876,3.753199269,1.804387569,0.494702884
202,1000,3,1000_3,3000,546,0.546,2643.811355,3.646520147,1.783882784,0.499853363
201,1000,3,1000_3,3000,575,0.575,2496.050435,3.713043478,1.787826087,0.517183406
204,1000,3,1000_3,3000,568,0.568,2451.714789,3.677816901,1.832746479,0.51432758
203,1000,3,1000_3,3000,546,0.546,2645.673993,3.815018315,1.765567766,0.503093507
205,1000,3,1000_3,3000,561,0.561,2584.114082,3.732620321,1.823529412,0.50178096
207,1000,3,1000_3,3000,559,0.559,2426.955277,3.69588551,1.81216458,0.525108657
206,1000,3,1000_3,3000,562,0.562,2399.229537,3.784697509,1.861209964,0.5443297
208,1000,3,1000_3,3000,579,0.579,2417.57513,3.839378238,1.84283247,0.52023268
210,1000,3,1000_3,3000,555,0.555,2445.30991,3.610810811,1.836036036,0.526203982
209,1000,3,1000_3,3000,567,0.567,2414.45679,3.555555556,1.827160494,0.540984918
211,1000,max,1000_max,3000,593,0.593,2913.583474,3.650927487,1.954468803,0.521675026
213,1000,max,1000_max,3000,582,0.582,2937.024055,3.611683849,1.939862543,0.538899824
215,1000,max,1000_max,3000,592,0.592,2958.878378,3.5625,1.952702703,0.505662663
212,1000,max,1000_max,3000,584,0.584,3003.666096,3.767123288,1.967465753,0.524928067
214,1000,max,1000_max,3000,599,0.599,3119.739566,3.816360601,1.859766277,0.492869769
216,1000,max,1000_max,3000,585,0.585,2977.687179,3.78974359,1.912820513,0.500588117
217,1000,max,1000_max,3000,608,0.608,3049.144737,3.861842105,1.888157895,0.484273965
218,1000,max,1000_max,3000,598,0.598,2812.944816,3.859531773,2.006688963,0.537920123
219,1000,max,1000_max,3000,609,0.609,3062.90312,3.733990148,1.916256158,0.501991738
220,1000,max,1000_max,3000,620,0.62,2830.274194,3.7,2.020967742,0.540821345
222,1000,max,1000_max,3000,586,0.586,2753.616041,3.699658703,1.976109215,0.525291165
221,1000,max,1000_max,3000,605,0.605,2865.854545,3.623140496,1.938842975,0.512089663
223,1000,max,1000_max,3000,585,0.585,2880.700855,3.805128205,1.970940171,0.531735079
225,1000,max,1000_max,3000,585,0.585,2819.873504,3.68034188,2.013675214,0.530277451
224,1000,max,1000_max,3000,602,0.602,2869.66113,3.662790698,1.991694352,0.520887597
227,1000,max,1000_max,3000,608,0.608,2797.223684,3.662828947,1.975328947,0.530203884
