Latitude,Longitude
51.407322,-0.111613
51.380599,-0.107971
51.385716,-0.092396
51.529374,-0.300058
51.616471,-0.312405
51.535496,-0.226438
51.600045,-0.311325
51.554419,-0.304505
51.598413,-0.102671
51.576993,-0.428803
51.558958,-0.354914
51.571284,-0.295493
51.618091,-0.245653
51.633668,-0.099654
51.583888,-0.266457
51.537678,-0.476443
51.5283,0.056762
51.602398,-0.06691
51.562591,-0.003702
51.599345,0.160241
51.573635,0.079575
51.543941,0.065313
51.559715,0.068855
51.55787,0.242686
51.633166,-0.070529
51.534379,0.126349
51.559418,0.102746
51.581672,-0.015322
51.492432,0.014595
51.397267,0.011661
51.488658,0.067135
51.465151,0.108501
51.482193,0.040356
51.447925,0.023026
51.424289,-0.013576
51.400604,0.01684
51.453,0.095577
51.379485,-0.080397
51.475144,0.16367
51.347109,-0.051365
51.382682,0.087607
51.518688,-0.411467
51.413083,-0.206445
51.448924,-0.357835
51.386267,-0.169221
51.449058,-0.332876
51.372368,-0.098871
51.401687,-0.216926
51.509949,-0.318679
51.42758,-0.333269
51.460698,-0.323699
51.380611,-0.243252
51.518651,-0.298554
51.349749,-0.19654
51.420211,-0.127464
51.577362,-0.422166
51.588755,-0.312884
51.557522,-0.2172
51.591116,-0.195341
51.622085,-0.277959
51.580564,-0.298653
51.590864,-0.159404
51.533621,0.055892
51.590522,0.031376
51.578018,0.125571
51.581678,0.181891
51.37067,-0.01551
51.384406,0.072595
51.434645,0.076364
51.39266,0.110428
51.464549,0.167661
51.374708,-0.23342
51.376824,-0.216412
51.507617,-0.38309
51.414156,-0.311396
51.402908,-0.257436
51.408367,-0.135338
51.594106,-0.483608
51.577177,-0.423774
51.560441,-0.459554
51.557597,-0.363705
51.600901,-0.345544
51.526193,-0.305842
51.626636,-0.272485
51.544534,-0.261347
51.637372,-0.132608
51.614843,-0.322403
51.64715,-0.183274
51.526983,-0.397873
51.570144,-0.371624
51.596079,-0.108515
51.598593,-0.27765
51.657008,-0.098259
51.567866,-0.404848
51.593792,-0.142105
51.608299,-0.263245
51.608108,-0.166665
51.548676,-0.218526
51.575318,-0.257936
51.528625,-0.367022
51.567627,-0.314431
51.50988,0.018622
51.544346,0.150885
51.502577,0.111136
51.537151,0.057652
51.541696,0.102621
51.51599,0.050053
51.65554,-0.050409
